[     0.0s 14:16:39] FIXED-mode pipeline -> /home/joebachir20/replication_kit/method_reconstruction/pipeline/runs_parallel/20260714_141639
[     0.0s 14:16:39] workers: [('uncapped_sub89', 'lns', None), ('depth5_sub90', 'lns', 5)]
[  1110.1s 14:35:09] status: uncapped_sub89=89/5(up)  depth5_sub90=90/5(up)
[  1130.1s 14:35:29] status: uncapped_sub89=89/5(up)  depth5_sub90=90/5(up)
[  1147.2s 14:35:46] status: uncapped_sub89=89/5(up)  depth5_sub90=90/5(up)
[  1164.3s 14:36:04] status: uncapped_sub89=89/5(up)  depth5_sub90=90/5(up)
[  1184.3s 14:36:24] status: uncapped_sub89=89/5(up)  depth5_sub90=90/5(up)
[  1201.4s 14:36:41] status: uncapped_sub89=89/5(up)  depth5_sub90=89/5(up)
[  1221.4s 14:37:01] status: uncapped_sub89=89/5(up)  depth5_sub90=89/5(up)
[  1238.5s 14:37:18] status: uncapped_sub89=89/5(up)  depth5_sub90=89/5(up)
[  1255.6s 14:37:35] status: uncapped_sub89=89/5(up)  depth5_sub90=89/5(up)
[  1275.7s 14:37:55] status: uncapped_sub89=89/5(up)  depth5_sub90=89/5(up)
[  1292.8s 14:38:12] status: uncapped_sub89=89/5(up)  depth5_sub90=89/5(up)
[  1309.9s 14:38:29] status: uncapped_sub89=89/5(up)  depth5_sub90=89/5(up)
[  1329.9s 14:38:49] status: uncapped_sub89=89/5(up)  depth5_sub90=89/5(up)
[  1347.0s 14:39:06] status: uncapped_sub89=89/5(up)  depth5_sub90=89/5(up)
[  1367.0s 14:39:26] status: uncapped_sub89=89/5(up)  depth5_sub90=89/5(up)
[  1384.1s 14:39:43] status: uncapped_sub89=89/5(up)  depth5_sub90=89/5(up)
[  1404.1s 14:40:03] status: uncapped_sub89=89/5(up)  depth5_sub90=89/5(up)
[  1419.9s 14:40:19] status: uncapped_sub89=89/5(up)  depth5_sub90=89/5(up)
[  1440.0s 14:40:39] status: uncapped_sub89=89/5(up)  depth5_sub90=89/5(up)
[  1457.4s 14:40:57] status: uncapped_sub89=89/5(up)  depth5_sub90=89/5(up)
[  1474.5s 14:41:14] status: uncapped_sub89=89/5(up)  depth5_sub90=89/5(up)
